ID,Name,GeoPoint
101075,Les Sablons,"48.881016496556725, 2.272238940611056"
101077,Pont de Neuilly,"48.88470820038816, 2.2605150778881162"
331,Porte Maillot,"48.87734959965921, 2.283795557013639"
101079,Esplanade de La Défense,"48.88813847667783, 2.249792769009765"
101071,Argentine,"48.875336841182126, 2.2901275088247"
390,La Défense-Grande Arche,"48.89218707551516, 2.2370180563950135"
